1,肖申克的救赎/ The Shawshank Redemption/ 月黑高飞(港)  /  刺激1995(台),弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,2064230,https://movie.douban.com/subject/1292052/
2,霸王别姬/ 再见，我的妾  /  Farewell My Concubine,陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1530297,https://movie.douban.com/subject/1291546/
3,阿甘正传/ Forrest Gump/ 福雷斯特·冈普,罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,1560360,https://movie.douban.com/subject/1292720/
4,这个杀手不太冷/ Léon/ 杀手莱昂  /  终极追杀令(台),吕克·贝松 Luc Besson,1994,法国,剧情 动作 犯罪,9.4,1751710,https://movie.douban.com/subject/1295644/
5,美丽人生/ La vita è bella/ 一个快乐的传说(港)  /  Life Is Beautiful,罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,979025,https://movie.douban.com/subject/1292063/
6,泰坦尼克号/ Titanic/ 铁达尼号(港 / 台),詹姆斯·卡梅隆 James Cameron,1997,美国,剧情 爱情 灾难,9.4,1512914,https://movie.douban.com/subject/1292722/
7,千与千寻/ 千と千尋の神隠し/ 神隐少女(台)  /  千与千寻的神隐,宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,1620668,https://movie.douban.com/subject/1291561/
8,辛德勒的名单/ Schindler's List/ 舒特拉的名单(港)  /  辛德勒名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,795225,https://movie.douban.com/subject/1295124/
9,盗梦空间/ Inception/ 潜行凶间(港)  /  全面启动(台),克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.3,1491319,https://movie.douban.com/subject/3541415/
10,忠犬八公的故事/ Hachi: A Dog's Tale/ 秋田犬八千(港)  /  忠犬小八(台),莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1036885,https://movie.douban.com/subject/3011091/
11,海上钢琴师/ La leggenda del pianista sull'oceano/ 声光伴我飞(港)  /  一九零零的传奇,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1243005,https://movie.douban.com/subject/1292001/
12,楚门的世界/ The Truman Show/ 真人Show(港)  /  真人戏,彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.3,1114674,https://movie.douban.com/subject/1292064/
13,三傻大闹宝莱坞/ 3 Idiots/ 三个傻瓜(台)  /  作死不离3兄弟(港),拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1383516,https://movie.douban.com/subject/3793023/
14,机器人总动员/ WALL·E/ 太空奇兵·威E(港)  /  瓦力(台),安德鲁·斯坦顿 Andrew Stanton,2008,美国,科幻 动画 冒险,9.3,981394,https://movie.douban.com/subject/2131459/
