1,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,R,2h 22min,Drama,14 October 1994 (USA),https://www.imdb.com/title/tt0111161/mediaviewer/rm10105600,https://www.imdb.com/video/imdb/vi3877612057?playlistId=tt0111161,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Stephen King | Frank Darabont,Frank Darabont,Tim Robbins | Morgan Freeman | Bob Gunton
2,The Godfather,https://www.imdb.com/title/tt0068646/,R,2h 55min,Crime,Drama,https://www.imdb.com/title/tt0068646/mediaviewer/rm746868224,https://www.imdb.com/video/imdb/vi1348706585?playlistId=tt0068646,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Mario Puzo | Francis Ford Coppola | 1 more credit,Francis Ford Coppola,Marlon Brando | Al Pacino | James Caan
3,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,R,3h 22min,Crime,Drama,https://www.imdb.com/title/tt0071562/mediaviewer/rm4159262464,https://www.imdb.com/video/imdb/vi696162841?playlistId=tt0071562,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola | Mario Puzo | 1 more credit,Francis Ford Coppola,Al Pacino | Robert De Niro | Robert Duvall
4,The Dark Knight,https://www.imdb.com/title/tt0468569/,PG-13,2h 32min,Action,Crime,https://www.imdb.com/title/tt0468569/mediaviewer/rm4023877632,https://www.imdb.com/video/imdb/vi324468761?playlistId=tt0468569,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Jonathan Nolan | Christopher Nolan | 3 more credits,Christopher Nolan,Christian Bale | Heath Ledger | Aaron Eckhart
5,12 Angry Men,https://www.imdb.com/title/tt0050083/,Approved,1h 36min,Crime,Drama,https://www.imdb.com/title/tt0050083/mediaviewer/rm2927108352,https://www.imdb.com/video/imdb/vi3452609817?playlistId=tt0050083,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Reginald Rose | Reginald Rose,Sidney Lumet,Henry Fonda | Lee J. Cobb | Martin Balsam
6,Schindler's List,https://www.imdb.com/title/tt0108052/,R,3h 15min,Biography,Drama,https://www.imdb.com/title/tt0108052/mediaviewer/rm1610023168,https://www.imdb.com/video/imdb/vi1158527769?playlistId=tt0108052,,Thomas Keneally | Steven Zaillian,Steven Spielberg,Liam Neeson | Ralph Fiennes | Ben Kingsley
7,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,PG-13,3h 21min,Adventure,Drama,https://www.imdb.com/title/tt0167260/mediaviewer/rm584928512,https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167260,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,J.R.R. Tolkien | Fran Walsh | 2 more credits,Peter Jackson,Elijah Wood | Viggo Mortensen | Ian McKellen
8,Pulp Fiction,https://www.imdb.com/title/tt0110912/,R,2h 34min,Crime,Drama,https://www.imdb.com/title/tt0110912/mediaviewer/rm1959546112,https://www.imdb.com/video/imdb/vi2620371481?playlistId=tt0110912,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino | Roger Avary | 1 more credit,Quentin Tarantino,John Travolta | Uma Thurman | Samuel L. Jackson
9,"The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/,R,2h 58min,Western,29 December 1967 (USA),https://www.imdb.com/title/tt0060196/mediaviewer/rm3188773120,https://www.imdb.com/video/imdb/vi3416964889?playlistId=tt0060196,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Luciano Vincenzoni | Sergio Leone | 4 more credits,Sergio Leone,Clint Eastwood | Eli Wallach | Lee Van Cleef
10,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,PG-13,2h 58min,Action,Adventure,https://www.imdb.com/title/tt0120737/mediaviewer/rm3592958976,https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0120737,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,J.R.R. Tolkien | Fran Walsh | 2 more credits,Peter Jackson,Elijah Wood | Ian McKellen | Orlando Bloom
